_id,actor_id,last_update,product,quantity
61d4dce90f6f8823f6b7fe62,1,74,2001,1
61d4dce90f6f8823f6b7fe63,2,74,2001,49
61d4dce90f6f8823f6b7fe64,1,75,2001,1
61d4dcea0f6f8823f6b7fe65,2,75,2001,48
61d4dcea0f6f8823f6b7fe66,1,76,2001,1
61d4dcea0f6f8823f6b7fe67,2,76,2001,47
61d4dcea0f6f8823f6b7fe68,1,77,2001,1
61d4dcea0f6f8823f6b7fe69,2,77,2001,46
61d4dcea0f6f8823f6b7fe6a,1,78,2001,1
61d4dcea0f6f8823f6b7fe6b,2,78,2001,45
61d4dcea0f6f8823f6b7fe6c,1,79,2001,1
61d4dcea0f6f8823f6b7fe6d,2,79,2001,44
61d4dcea0f6f8823f6b7fe6e,1,80,2001,1
61d4dcea0f6f8823f6b7fe6f,2,80,2001,43
61d4dcea0f6f8823f6b7fe70,1,81,2001,1
61d4dcea0f6f8823f6b7fe71,2,81,2001,42
61d4dcea0f6f8823f6b7fe72,1,82,2001,1
61d4dcea0f6f8823f6b7fe73,2,82,2001,41
61d4dcea0f6f8823f6b7fe74,1,83,2001,1
61d4dcea0f6f8823f6b7fe75,2,83,2001,40
61d4dcea0f6f8823f6b7fe76,1,84,2001,1
61d4dcea0f6f8823f6b7fe77,2,84,2001,39
61d4dcea0f6f8823f6b7fe78,1,85,2001,1
61d4dcea0f6f8823f6b7fe79,2,85,2001,38
61d4dcea0f6f8823f6b7fe7a,1,86,2001,1
61d4dcea0f6f8823f6b7fe7b,2,86,2001,37
61d4dcea0f6f8823f6b7fe7c,1,87,2001,1
61d4dcea0f6f8823f6b7fe7d,2,87,2001,36
61d4dcea0f6f8823f6b7fe7e,1,88,2001,1
61d4dcea0f6f8823f6b7fe7f,2,88,2001,35
61d4dcea0f6f8823f6b7fe80,1,89,2001,1
61d4dcea0f6f8823f6b7fe81,2,89,2001,34
61d4dcea0f6f8823f6b7fe82,1,90,2001,1
61d4dcea0f6f8823f6b7fe83,2,90,2001,33
61d4dcea0f6f8823f6b7fe84,1,91,2001,1
61d4dcea0f6f8823f6b7fe85,2,91,2001,32
61d4dcea0f6f8823f6b7fe86,1,92,2001,1
61d4dcea0f6f8823f6b7fe87,2,92,2001,31
61d4dcea0f6f8823f6b7fe88,1,93,2001,1
61d4dcea0f6f8823f6b7fe89,2,93,2001,30
61d4dcea0f6f8823f6b7fe8a,1,94,2001,1
61d4dcea0f6f8823f6b7fe8b,2,94,2001,29
