Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
5260,2001,68611,1,2005203,0,2
5260,3001,508053,2,3005230,0,3
5261,1001,11122,0,1005261,0,1
5261,2001,68611,1,2005204,0,2
5261,3001,507797,2,3005231,0,3
5262,1001,11117,0,1005262,0,1
5262,2001,68618,1,2005205,0,2
5262,3001,507548,2,3005232,0,3
5263,1001,11125,0,1005263,0,1
5263,2001,68618,1,2005206,0,2
5263,3001,507300,2,3005233,0,3
5264,1001,11187,0,1005264,0,1
5264,2001,68645,1,2005207,0,2
5264,3001,507050,2,3005234,0,3
5265,1001,11336,0,1005265,0,1
5265,2001,68700,1,2005208,0,2
5265,3001,506816,2,3005235,0,3
5266,1001,11456,0,1005266,0,1
5266,2001,68790,1,2005209,0,2
5266,3001,506610,2,3005236,0,3
5267,1001,11390,0,1005267,0,1
5267,2001,68872,1,2005210,0,2
5267,3001,506426,2,3005237,0,3
5268,1001,11336,0,1005268,0,1
5268,2001,68945,1,2005211,0,2
5268,3001,506271,2,3005238,0,3
5269,1001,11240,0,1005269,0,1
5269,2001,68992,1,2005212,0,2
5269,3001,506131,2,3005239,0,3
5270,1001,11104,0,1005270,0,1
5270,2001,69010,1,2005213,0,2
5270,3001,505999,2,3005240,0,3
5271,1001,11157,0,1005271,0,1
5271,2001,69030,1,2005214,0,2
5271,3001,505881,2,3005241,0,3
5272,1001,10982,0,1005272,0,1
5272,2001,69011,1,2005215,0,2
5272,3001,505748,2,3005242,0,3
5273,1001,10934,0,1005273,0,1
5273,2001,68993,1,2005216,0,2
5273,3001,505623,2,3005243,0,3
5274,1001,10801,0,1005274,0,1
5274,2001,68951,1,2005217,0,2
5274,3001,505490,2,3005244,0,3
5275,1001,10707,0,1005275,0,1
5275,2001,68892,1,2005218,0,2
5275,3001,505342,2,3005245,0,3
5276,1001,10783,0,1005276,0,1
5276,2001,68856,1,2005219,0,2
5276,3001,505188,2,3005246,0,3
5277,1001,10843,0,1005277,0,1
5277,2001,68838,1,2005220,0,2
5277,3001,505048,2,3005247,0,3
5278,1001,10827,0,1005278,0,1
5278,2001,68820,1,2005221,0,2
5278,3001,504908,2,3005248,0,3
5279,1001,10981,0,1005279,0,1
5279,2001,68832,1,2005222,0,2
5279,3001,504790,2,3005249,0,3
5280,1001,10977,0,1005280,0,1
5280,2001,68857,1,2005223,0,2
5280,3001,504694,2,3005250,0,3
5281,1001,11034,0,1005281,0,1
5281,2001,68894,1,2005224,0,2
5281,3001,504628,2,3005251,0,3
5282,1001,10956,0,1005282,0,1
5282,2001,68917,1,2005225,0,2
5282,3001,504576,2,3005252,0,3
5283,1001,10936,0,1005283,0,1
5283,2001,68941,1,2005226,0,2
5283,3001,504554,2,3005253,0,3
5284,1001,10906,0,1005284,0,1
5284,2001,68958,1,2005227,0,2
5284,3001,504547,2,3005254,0,3
5285,1001,10785,0,1005285,0,1
5285,2001,68958,1,2005228,0,2
5285,3001,504562,2,3005255,0,3
5286,1001,10791,0,1005286,0,1
5286,2001,68959,1,2005229,0,2
5286,3001,504591,2,3005256,0,3
5287,1001,10885,0,1005287,0,1
5287,2001,68970,1,2005230,0,2
5287,3001,504628,2,3005257,0,3
5288,1001,10871,0,1005288,0,1
5288,2001,68976,1,2005231,0,2
5288,3001,504686,2,3005258,0,3
5289,1001,10867,0,1005289,0,1
5289,2001,68976,1,2005232,0,2
5289,3001,504760,2,3005259,0,3
5290,1001,10867,0,1005290,0,1
5290,2001,68958,1,2005233,0,2
5290,3001,504825,2,3005260,0,3
5291,1001,10867,0,1005291,0,1
5291,2001,68934,1,2005234,0,2
5291,3001,504906,2,3005261,0,3
5292,1001,10963,0,1005292,0,1
5292,2001,68902,1,2005235,0,2
5292,3001,504972,2,3005262,0,3
5293,1001,10903,0,1005293,0,1
5293,2001,68858,1,2005236,0,2
5293,3001,505030,2,3005263,0,3
5294,1001,10888,0,1005294,0,1
5294,2001,68808,1,2005237,0,2
5294,3001,505074,2,3005264,0,3
5295,1001,10860,0,1005295,0,1
5295,2001,68744,1,2005238,0,2
5295,3001,505096,2,3005265,0,3
5296,1001,10860,0,1005296,0,1
5296,2001,68639,1,2005239,0,2
5296,3001,505081,2,3005266,0,3
5297,1001,10837,0,1005297,0,1
5297,2001,68504,1,2005240,0,2
5297,3001,505016,2,3005267,0,3
5298,1001,10867,0,1005298,0,1
5298,2001,68395,1,2005241,0,2
5298,3001,504906,2,3005268,0,3
5299,1001,10772,0,1005299,0,1
5299,2001,68270,1,2005242,0,2
5299,3001,504746,2,3005269,0,3
5300,1001,10800,0,1005300,0,1
5300,2001,68177,1,2005243,0,2
5300,3001,504557,2,3005270,0,3
5301,1001,10852,0,1005301,0,1
5301,2001,68125,1,2005244,0,2
5301,3001,504345,2,3005271,0,3
5302,1001,10877,0,1005302,0,1
5302,2001,68066,1,2005245,0,2
5302,3001,504119,2,3005272,0,3
5303,1001,10842,0,1005303,0,1
5303,2001,68034,1,2005246,0,2
5303,3001,503886,2,3005273,0,3
5304,1001,10876,0,1005304,0,1
5304,2001,68028,1,2005247,0,2
5304,3001,503660,2,3005274,0,3
5305,1001,10876,0,1005305,0,1
5305,2001,68040,1,2005248,0,2
5305,3001,503448,2,3005275,0,3
5306,1001,10942,0,1005306,0,1
5306,2001,68089,1,2005249,0,2
5306,3001,503258,2,3005276,0,3
5307,1001,10843,0,1005307,0,1
5307,2001,68101,1,2005250,0,2
5307,3001,503083,2,3005277,0,3
5308,1001,10807,0,1005308,0,1
5308,2001,68089,1,2005251,0,2
5308,3001,502908,2,3005278,0,3
5309,1001,10783,0,1005309,0,1
5309,2001,68083,1,2005252,0,2
5309,3001,502733,2,3005279,0,3
5310,1001,10843,0,1005310,0,1
5310,2001,68057,1,2005253,0,2
5310,3001,502550,2,3005280,0,3
5311,1001,10824,0,1005311,0,1
5311,2001,68026,1,2005254,0,2
5311,3001,502353,2,3005281,0,3
5312,1001,10858,0,1005312,0,1
5312,2001,67987,1,2005255,0,2
5312,3001,502140,2,3005282,0,3
5313,1001,10875,0,1005313,0,1
5313,2001,67968,1,2005256,0,2
5313,3001,501913,2,3005283,0,3
5314,1001,10792,0,1005314,0,1
5314,2001,67943,1,2005257,0,2
5314,3001,501679,2,3005284,0,3
5315,1001,10798,0,1005315,0,1
5315,2001,67918,1,2005258,0,2
